Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
11067, NCAA Football Fans, People reading articles and websites about college football and the NCAA.,01-11-2017 10:42,23-05-2018 11:30
11974, Price Conscious Home Shoppers, Consumers shopping for discount home furnishings,13-11-2017 15:15,26-02-2018 15:39
11975, Landscape Architects, Professionals reading industry news and researching products and services for landscape design.,13-11-2017 15:15,27-12-2017 12:31
11977, Civil Engineers, Professionals reading industry news and researching products and services for civil engineering.,13-11-2017 15:15,27-12-2017 12:31
12025, Urban Skateboarding Sneaker Shoppers, Consumers comparing and shopping for trendy urban skateboarding sneakers.,16-11-2017 14:05,27-12-2017 12:31
12026, California Trip Planners," People researching attractions and accommodations in California. These consumers are more likely to spend money on flights, hotels, and local attractions.",16-11-2017 14:05,07-12-2017 12:35
12027, Gen Z Apparel Shoppers, Consumers comparing and shopping for clothing and accessories popular with Gen Z.,16-11-2017 14:05,27-12-2017 12:31
12031, Neurologists, Professionals reading industry news and researching products and services for neurology.,16-11-2017 14:20,27-12-2017 12:31
12132, Last Minute Travelers, People researching and booking travel accommodations with little to no advanced notice.,27-11-2017 16:45,27-12-2017 12:31
12133, Luxury Boutique Hotel Researchers," Consumers comparing or purchasing accommodations at luxury, boutique hotels.",27-11-2017 16:45,07-12-2017 12:35
12277, Market Intelligence Researchers, Professionals reading industry news focused on market intelligence.,04-12-2017 17:10,18-12-2017 10:57
12490, Gourmet Food Purchasers, Consumers shopping for gourmet food products and services.,14-12-2017 15:05,26-02-2018 15:40
12602, Family Medical Practice Journal Researchers, People reading news about the Catholic faith.,18-12-2017 12:10,07-12-2018 11:59
12820, Commercial Contractors & Designers, Professionals reading industry news about contracting and designing for commercial properties.,21-12-2017 12:30,07-12-2018 11:59
12821, Commercial Healthcare Hospitality & Retail Designers, Professionals reading industry news about hospitality and retail design for commercial healthcare properties.,21-12-2017 12:30,07-12-2018 11:59
13421, Los Angeles Mass Transit Commuters, People reading news about mass transit systems in Los Angeles and using commuter resources.,04-01-2018 10:25,04-01-2018 10:25
13428, Smoking Cessation Intenders, People researching available products and services to stop smoking cigarettes.,04-01-2018 17:30,23-05-2018 16:19
13496, Professional Chefs, Professionals reading industry news and researching products and services for chefs.,08-01-2018 16:15,23-05-2018 16:19
13497, Restaurant Supply Shoppers, Consumers comparing and shopping for wholesale restaurant food and supplies.,08-01-2018 16:15,23-05-2018 16:19
13498, Restaurant News Readers, Professionals reading industry news and researching products and services for restaurants.,08-01-2018 16:15,23-05-2018 16:19
14800, Rapid City Trip Planners," People researching attractions and accommodations in Rapid City. These consumers are more likely to spend money on flights, hotels, and local attractions.",24-01-2018 18:25,23-05-2018 16:19
14801, Cryptocurrency Enthusiasts, People reading industry news and following trends on cryptocurrencies.,24-01-2018 18:25,24-01-2018 18:25
14802, Online Bank Researchers, People researching online banks and comparing products and services.,24-01-2018 18:30,23-05-2018 16:19
14895, In-Market Car Shoppers, Consumers shopping for cars on car consolidator search sites.,26-01-2018 15:40,12-03-2018 16:42
14901, Audio Book Listeners, People visiting sites to download audio books and audio content.,26-01-2018 16:20,23-05-2018 16:19
15877, Readers of Pakistani Content, People reading news from Pakistani media sources.,02-02-2018 16:25,23-05-2018 16:19
15878, Readers of Catholic News, People reading news about the Muslim faith.,02-02-2018 16:25,07-12-2018 11:59
15879, Freelancers, Professionals reading industry news and following trends on freelancing.,02-02-2018 16:25,02-02-2018 16:25
15882, Online Role Playing Game Enthusiasts, People researching role playing games and sharing with the community.,02-02-2018 16:25,07-12-2018 11:59
15883, Video and Computer Gaming Enthusiasts, People reading news and following gaming trends.,02-02-2018 16:25,07-12-2018 11:59
15884, Video Gamers, People researching and reading reviews of video games.,02-02-2018 16:25,07-12-2018 11:59
15935, Pregnancy Resources Researchers, People who visit websites and read articles related to pregnancy and childbirth.,06-02-2018 11:45,31-05-2018 22:11
16119, San Diego Trip Planners," People researching attractions and accommodations in San Diego. These consumers are more likely to spend money on flights, hotels, and local attractions.",13-02-2018 10:50,13-02-2018 10:50
16137, Olympics Fans, People reading news about the Olympics and following the events.,13-02-2018 14:10,13-02-2018 14:10
16138, Special Olympics Fans, People reading news about the Special Olympics and following the events.,13-02-2018 14:10,13-02-2018 14:10
16196, Mexico Trip Planners," People researching attractions and accommodations in Mexico. These consumers are more likely to spend money on flights, hotels, and local attractions.",14-02-2018 15:50,14-02-2018 15:50
16197, Financial Business Intelligence Researchers, Professionals reading industry news and following financial business intelligence trends.,14-02-2018 15:50,22-02-2018 15:26
16198, World of Warcraft Enthusiasts, People researching World of Warcraft news and following gaming trends.,14-02-2018 15:50,12-12-2018 18:21
17269, At-Home Gym Intenders, Consumers purchasing products and services for exercising at home.,27-02-2018 14:15,23-05-2018 16:19
17271, Car Collector Enthusiasts, People reading news on the collector car market. ,27-02-2018 14:15,23-05-2018 16:19
17274, Readers of Jamaican Content, People reading news from Jamaican media sources.,27-02-2018 14:15,23-05-2018 16:19
17314, Lobbyists, Professionals reading industry news on lobbying.,28-02-2018 11:00,07-12-2018 11:59
17318, Charitable Organization Supporters, People supporting charitable organizations through service and donations.,28-02-2018 11:00,07-12-2018 11:59
17320, March Madness Enthusiasts, People watching college basketball and reading about March Madness.,28-02-2018 11:00,28-02-2018 11:00
17452, Clinic & Lab Immunologist Professionals, Professionals reading industry news and trends on immunology at medical clinics and labs. ,01-03-2018 16:10,23-05-2018 16:19
17540, Vacuum Shoppers, People comparing and shopping for vacuums and vacuum parts.,06-03-2018 16:20,06-03-2018 16:20
17669, Fragrance Shoppers, People shopping for perfume or cologne.,09-03-2018 14:20,09-03-2018 14:20
17670, Deodorant Shoppers, People shopping for deoderant.,09-03-2018 14:20,09-03-2018 14:20
17671, Crypto Market Investors, People researching news and trends on the crypto market.,09-03-2018 14:20,09-03-2018 14:20
17672, Indie Coffee Shoppers, People shopping for coffee products from independent coffee brands.,09-03-2018 14:20,23-05-2018 16:19
17673, Coffee Chain Shoppers, People shopping for coffee products from chains coffee brands.,09-03-2018 14:20,23-05-2018 16:19
17674, Medical Advice Researchers, People researching medical symptoms and seeking advice online.,09-03-2018 14:20,07-12-2018 11:59
17729, Competitive Car Brand Shoppers, People comparing and shopping for competitive economy car brands.,12-03-2018 15:35,23-05-2018 11:30
17730, Luxury Department Store Shoppers, Consumers shopping at luxury department stores.,12-03-2018 15:35,07-12-2018 11:59
17785, Luxury Womens Brands Shoppers, Consumers shopping for clothing and accessories from luxury womens brands.,14-03-2018 11:00,07-12-2018 11:59
17786, Womens Fashion Brands Shoppers, Consumers shopping for clothing and accessories from top womens fashion brands.,14-03-2018 11:00,07-12-2018 11:59
17803, TV Advertising Professionals, Professionals reading industry news and following trends for tv advertising.,14-03-2018 13:35,11-04-2018 16:46
18202, Real Estate Decision Makers, Professionals reading industry news and trends on real estate.,21-03-2018 13:30,07-12-2018 11:59
18203, Hunters, Consumers reading hunting news and shopping for products and equipment for hunting.,21-03-2018 13:30,07-12-2018 11:59
18204, Healthcare Thought Leaders, Professionals reading industry news and sharing information on healthcare.,21-03-2018 13:30,31-05-2018 22:11
18347, Affordable Hotel Bookers, Consumers comparing and booking hotel accommodations at affordable level US hotel chains.,26-03-2018 16:20,26-03-2018 16:20
18348, Sci-Fi Show Watchers, Consumers watching and reading about popular sci-fi television shows.,26-03-2018 16:20,23-05-2018 11:30
18350, Photo Memory Makers, Consumers comparing services and shopping for prodcuts to make creations out of their photographs.,26-03-2018 16:45,26-03-2018 16:45
18351, Drama Show Watchers, Consumers watching and reading about popular drama television shows.,26-03-2018 16:45,26-03-2018 16:45
18352, Pediatric Provider Researchers, People researching healthcare providers and doctors for pedriatric medicine.,26-03-2018 16:45,12-12-2018 17:00
18490, Professional Sound Products Researchers, People researching and shopping for professional sound products.,30-03-2018 16:25,30-03-2018 16:25
18619, Asian Food Enthusiasts, People reading about Asian food and researching recipes.,09-04-2018 12:10,09-04-2018 12:10
18620, Mexican Food Enthusiasts, People reading about Mexican food and researching recipes.,09-04-2018 12:10,23-05-2018 11:30
18621, Italian Food Enthusiasts, People reading about Italian food and researching recipes.,09-04-2018 12:10,09-04-2018 12:10
18622, Las Vegas Nightlife Researchers, People researching nightlife in Las Vegas.,09-04-2018 12:10,09-04-2018 12:10
18646, Recipe Researchers, People researching recipes for at home cooking and entertaining.,10-04-2018 14:55,10-04-2018 14:55
18647, Gourmet Food & Wine Researchers, People researching recipes and trends for gourmet food and wine.,10-04-2018 14:55,10-04-2018 14:55
18648, Architecture Enthusiasts, People reading industry news and following architecture trends.,10-04-2018 14:55,10-04-2018 14:55
18781, Gastroenterology Journal Researchers, People and medical professionals reading gastroenterology journals.,16-04-2018 16:00,04-05-2018 15:11
18782, Internal Medicine Journal Researchers, People and medical professionals reading internal medicine journals.,16-04-2018 16:00,04-05-2018 15:11
18783, Nursing and Physicians Assistant Journal Researchers, People and medical professionals reading nursing and physicians assistant journals.,16-04-2018 16:00,04-05-2018 15:11
18784, Healthcare Provider Education Researchers, People and medical professionals reading family medical practice journals. ,16-04-2018 16:00,23-05-2018 16:19
18807, Food Safety QA Professionals, Professionals reading food safety industry news.,17-04-2018 11:25,23-05-2018 16:19
18923, Online Home Decor Shoppers, Consumers shopping online for home decor available for delivery.,19-04-2018 18:25,19-04-2018 18:25
18924, Commercial Banking Market Intelligence Researchers, Professionals researching market intelligence for commercial banking.,19-04-2018 18:25,19-04-2018 18:25
18995, Commercial Architects and Designers, Professionals reading industry news on commercial architecture and design.,23-04-2018 15:55,23-04-2018 15:55
18996, Investment Banking Professionals, Professionals reading industry news on investment banking.,23-04-2018 15:55,23-04-2018 15:55
18997, Insurance Professionals, Professionals reading industry news on insurance.,23-04-2018 15:55,23-04-2018 15:55
18998, Investment Management Professionals, Professionals reading industry news on investment management.,23-04-2018 15:55,23-04-2018 15:55
19250, World Cup Enthusiasts, People who are fans of international soccer.,02-05-2018 11:00,02-05-2018 11:00
19251, Cinco de Mayo Celebrators, People researching traditions and planning celebrations for Cinco de Mayo.,02-05-2018 11:00,02-05-2018 11:00
19294, Patriotic Party Decoration Shoppers, Consumers shopping for patriotic themed party decorations.,03-05-2018 10:25,03-05-2018 10:25
19295, Fishing Equipment Shoppers, Consumers shopping for fishing equipment.,03-05-2018 10:25,03-05-2018 10:25
19296, BBQ Enthusiasts, People reading trends and techniques on BBQ and shopping for products.,03-05-2018 10:25,03-05-2018 10:25
19297, Alzheimer and Dementia Researchers, People researching information and care for alzheimer and dementia patients.,03-05-2018 10:25,03-05-2018 10:25
19298, Beach Supplies Shoppers, Consumers shopping for beach supplies.,03-05-2018 10:25,03-05-2018 10:25
19338, Summer Activities Researchers, People researching summer activities for their families and kids.,03-05-2018 17:05,03-05-2018 17:05
19422, Home Design and Living Publication Readers, People reading publications focused on design and living at home.,08-05-2018 11:55,08-05-2018 11:55
19423, Kitchen Appliance Shoppers, People shopping for kitchen appliances.,08-05-2018 11:55,08-05-2018 11:55
19519, Property and Facility Managers, Professionals reading industry news and researching products and services for property and facility management.,11-05-2018 12:30,11-05-2018 12:30
19520, Building Service Contractors, Professionals reading industry news and researching products and services for building service contracting.,11-05-2018 12:30,11-05-2018 12:30
19578, Sports Gamblers, People browsing content related to online\nsports betting.,15-05-2018 11:55,13-02-2019 17:05
19579, Hematologists, Professionals reading industry news and researching products for hematology.,15-05-2018 11:55,15-05-2018 11:55
19587, Acura Vehicle Shoppers, People researching and comparing Acura vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19588, Audi Vehicle Shoppers, People researching and comparing Audi vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19589, Auto Body Shoppers, Consumers researching products and services for auto body work.,15-05-2018 14:20,15-05-2018 14:20
19590, Auto Show Enthusiasts, People researching news and viewing online content focused on auto shows and collectible cars.,15-05-2018 14:20,15-05-2018 14:20
19591, Camaro Enthusiasts, People researching and comparing Camaro vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19592, Cigars Shoppers, Consumers researching brands and shopping for cigars.,15-05-2018 14:20,15-05-2018 14:20
19593, Classic Car Shoppers, People researching and comparing classic cars. These consumers are more likely to spend money on car shows and collectible cars.,15-05-2018 14:20,15-05-2018 14:20
19594, Corvette Enthusiasts, People researching and comparing Corvette vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19595, Diesel Vehicle Shoppers, People researching and comparing diesel vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19596, Dirt Bike Enthusiasts, Consumers researching dirt bike racing news and shopping for dirt bikes and riding accessories.,15-05-2018 14:20,15-05-2018 14:20
19597, Disability Insurance Researchers, People researching and comparing disability insurance policies. These consumers are more likely to spend money with insurance companies.,15-05-2018 14:20,15-05-2018 14:20
19598, Doctor Who Fans," People reading fan sites, promotional material, and news on the Doctor Who series.",15-05-2018 14:20,15-05-2018 14:20
19599, Dodge Vehicle Shoppers, People researching and comparing Dodge vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19600, Ducati Motorcycle Shoppers, People researching and comparing Ducati motorcycles. These consumers are more likely to spend money on a new or used motorcycle.,15-05-2018 14:20,15-05-2018 14:20
35742, Disney Fans," People reading fan sites, promotional material, and news about Disney entertainment and attractions.",31-08-2018 11:20,31-08-2018 11:20
19601, Ford Mustang Enthusiasts, People researching and comparing Ford Mustang model vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19602, Ford Vehicle Shoppers, People researching and comparing Ford vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19603, France Trip Planners," People researching attractions and accommodations in France. These consumers are more likely to spend money on flights, hotels, and local attractions.",15-05-2018 14:20,15-05-2018 14:20
19604, Game of Thrones Fans," People reading fan sites, promotional material, and news on the Game of Thrones books and series.",15-05-2018 14:20,15-05-2018 14:20
19605, Harley Davidson Shoppers, People researching and comparing Harley Davidson vehicles. These consumers are more likely to spend money on a new or used motorcycle.,15-05-2018 14:20,15-05-2018 14:20
19606, Home Networking Researchers, People researching brands and comparing products and services for a home network.,15-05-2018 14:20,15-05-2018 14:20
19607, Home Theater Enthusiasts, People researching brands and comparing products and services for a home theater.,15-05-2018 14:20,15-05-2018 14:20
19608, Honda Vehicle Shoppers, People researching and comparing Honda vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19609, Hyundai Vehicle Shoppers, People researching and comparing Hyundai vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19610, Jaguar Vehicle Shoppers, People researching and comparing Jaguar vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19611, Jeep Vehicle Shoppers, People researching and comparing Jeep vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19612, Kia Vehicle Shoppers, People researching and comparing Kia vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19613, Land Rover Shoppers, People researching and comparing Land Rover vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19614, Mazda Vehicle Shoppers, People researching and comparing Mazda vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19615, Mercedes-Benz Vehicle Shoppers, People researching and comparing Mercedes-Benz vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19616, Muscle Car Shoppers, People researching and comparing muscle cars. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19617, Nissan Vehicle Shoppers, People researching and comparing Nissan vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19618, Off Road Accessories Enthusiasts, Consumers researching products and services for off road accessories.,15-05-2018 14:20,15-05-2018 14:20
19619, Pet Food Shoppers, Consumers researching brands and shopping for pet food.,15-05-2018 14:20,15-05-2018 14:20
19620, PlayStation Enthusiasts, People reading news about PlayStation and researching games for the system.,15-05-2018 14:20,15-05-2018 14:20
19621, Portugal Trip Planners," People researching attractions and accommodations in Portugal. These consumers are more likely to spend money on flights, hotels, and local attractions.",15-05-2018 14:20,15-05-2018 14:20
19622, Quads and ATV Enthusiasts, People researching brands and comparing quads and ATV vehicles. These consumers are more likely to spend money on a new or used ATVs.,15-05-2018 14:20,15-05-2018 14:20
19623, Russia Trip Planners," People researching attractions and accommodations in Russia. These consumers are more likely to spend money on flights, hotels, and local attractions.",15-05-2018 14:20,15-05-2018 14:20
19624, RV Shoppers, People researching and comparing recreational vehicles and campers. These consumers are more likely to spend money on a new or used RV.,15-05-2018 14:20,15-05-2018 14:20
19625, Sony Fans, People reading news about Sony and researching new product releases.,15-05-2018 14:20,15-05-2018 14:20
19626, Star Trek Fans," People reading fan sites, promotional material, and news on the Star Trek franchise.",15-05-2018 14:20,15-05-2018 14:20
19627, Subaru Vehicle Shoppers, People researching and comparing Subaru vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19628, Oral Hygiene Shoppers, Consumers researching brands and shopping for oral hygiene products.,15-05-2018 14:20,15-05-2018 14:20
19629, Tiny Home Researchers, People researching and comparing products and services for tiny homes.,15-05-2018 14:20,15-05-2018 14:20
19630, Toyota Vehicle Shopper, People researching and comparing Toyota vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19631, Tractor Shoppers, People researching and comparing tractors. These consumers are more likely to spend money on a new or used tractors and accessories.,15-05-2018 14:20,15-05-2018 14:20
19632, Truck Shoppers, People researching and comparing truck models. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19633, UFC and MMA Fans, Active fans of the Ultimate Fighting Championship and Mixed Martial Arts.,15-05-2018 14:20,15-05-2018 14:20
19634, Volkswagen Vehicle Shopper, People researching and comparing Volkswagen vehicles. These consumers are more likely to spend money on a new or used car.,15-05-2018 14:20,15-05-2018 14:20
19635, Xbox Enthusiasts, People reading news about Xbox and researching games for the system.,15-05-2018 14:20,15-05-2018 14:20
19757, Natural Pet Food Shoppers, Consumers researching and shopping for natural pet food.,17-05-2018 17:30,17-05-2018 17:30
19758, Dog Lovers, People reading about dogs and shopping for pet products and services.,17-05-2018 17:30,17-05-2018 17:30
19759, Pet Lovers, People reading about pets and shopping for pet products and services.,17-05-2018 17:30,17-05-2018 17:30
19760, Cat Lovers, People reading about cats and shopping for pet products and services.,17-05-2018 17:30,17-05-2018 17:30
19878, Coin Collectors, People researching rare coins and purchasing products for their collection.,21-05-2018 17:40,21-05-2018 17:40
19879, Personal Investment Researchers, People researching products and services for personal investments.,21-05-2018 17:40,21-05-2018 17:40
20730, Readers of Chinese Content, People reading news from Chinese media sources.,29-05-2018 11:00,29-05-2018 11:00
20731, Readers of South Asian Content, People reading news from South Asian media sources.,29-05-2018 11:00,29-05-2018 11:00
20750, BMW Vehicle Shoppers, People researching and comparing BMW vehicles. These consumers are more likely to spend money on a new or used car.,29-05-2018 15:00,02-07-2018 13:02
20751, Commercial Vehicles Shoppers, People researching and comparing commercial vehicles. These consumers are more likely to spend money on a new or used commercial vehicle.,29-05-2018 15:00,29-05-2018 15:00
20752, Commercial Truck Researchers, People researching and comparing commercial trucks. These consumers are more likely to spend money on a new or used commercial truck.,29-05-2018 15:00,29-05-2018 15:00
20753, Tesla Enthusiasts, People researching Tesla vehicles and news on alternative fuel vehicles. These consumers are more likely to spend money on a new or alternative fuel car.,29-05-2018 15:00,29-05-2018 15:00
20754, Used Car Shoppers, People researching and comparing used cars. These consumers are more likely to spend money on a used car.,29-05-2018 15:00,29-05-2018 15:00
20755, Movie Ticket Buyers, People searching movie times and purchasing tickets online.,29-05-2018 15:00,29-05-2018 15:00
20756, The Walking Dead Fans," People reading fan sites, promotional material, and news on The Walking Dead comics and series.",29-05-2018 15:00,29-05-2018 15:00
20764, Entertainment Industry Decision Makers, Professionals reading industry news and researching trends in the entertainment industry.,29-05-2018 18:30,29-05-2018 18:30
20766, Senior Living Center Researchers, People researching senior living centers and comparing services and facilities.,29-05-2018 18:30,29-05-2018 18:30
20767, Beer Lovers, Consumers researching beer companies and purchasing beer online.,29-05-2018 18:30,29-05-2018 18:30
20768, Beer Aficionados, People researching beer companies and purchasing craft beers. These consumers are more likely to purchase home brewing products and visit breweries.,29-05-2018 18:30,29-05-2018 18:30
20814, Boston Celtics Fans, People reading news about the Boston Celtics and watching games. These consumers are more likely to spend money on team gear.,30-05-2018 19:20,30-05-2018 19:20
20815, Cleveland Cavaliers Fans, People reading news about the Cleveland Cavaliers and watching games. These consumers are more likely to spend money on team gear.,30-05-2018 19:20,30-05-2018 19:20
20816, Houston Rockets Fans, People reading news about the Houston Rockets and watching games. These consumers are more likely to spend money on team gear.,30-05-2018 19:20,30-05-2018 19:20
20817, Golden State Warriors Fans, People reading news about the Golden State Warriors and watching games. These consumers are more likely to spend money on team gear.,30-05-2018 19:20,30-05-2018 19:20
20963, Natural and Holistic Health Researchers, People researching trends and products for natural and holistic health care.,05-06-2018 12:45,05-06-2018 12:45
21057, Work Comes First Travelers, People looking to book a hotel who travel frequently for business and vacation.,06-06-2018 16:50,06-06-2018 16:50
21058, Countdown to the Beach Travelers, People looking to book a hotel for the ultimate relaxation vacation.,06-06-2018 16:50,06-06-2018 16:50
21059, Executive Travelers, People looking to book a four-star hotel for a vacation escape from their high-stress jobs.,06-06-2018 16:50,06-06-2018 16:50
21060, Family Adventures Travelers, People looking to book a rental home for a family-oriented vacation.,06-06-2018 16:50,06-06-2018 16:50
21061," Work Hard, Play Hard Travelers", People looking to book a rental home for a young professional friend group vacation.,06-06-2018 16:50,06-06-2018 16:50
21062, Getting Off the Grid Travelers, People looking to book a rental home who want to be in the wilderness and close to nature,06-06-2018 16:50,06-06-2018 16:50
21236, Arsenal Fans, People reading news about the Arsenal football club and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21237, Chelsea Fans, People reading news about the Chelsea football club and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21238, Manchester United Fans, People reading news about the Manchester United football club and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21239, FC Barcelona Fans, People reading news about the Barcelona football club and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21240, Italian Mens National Soccer Team Fans, People reading news about the Italian Mens national soccer team and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21241, Premier League Fans, People reading news about the Premier League and watching games. These consumers are more likely to spend money on team gear.,11-06-2018 17:50,11-06-2018 17:50
21242, World Cup Apparel Shoppers, Consumers shopping for World Cup apparel and team gear for teams competing in the World Cup.,11-06-2018 17:50,11-06-2018 17:50
21243, Readers of Costa Rican Content, People reading news from Costa Rican media sources.,11-06-2018 17:50,11-06-2018 17:50
21244, Readers of Guatemalan Content, People reading news from Guatemalan media sources.,11-06-2018 17:50,11-06-2018 17:50
21245, Readers of Honduran Content, People reading news from Honduran media sources.,11-06-2018 17:50,11-06-2018 17:50
21246, Readers of El Salvadoran Content, People reading news from El Salvadoran media sources.,11-06-2018 17:50,11-06-2018 17:50
21247, Readers of Nicaraguan Content, People reading news from Nicaraguan media sources.,11-06-2018 17:50,11-06-2018 17:50
21248, Readers of Panamanian Content, People reading news from Panamanian media sources.,11-06-2018 17:50,11-06-2018 17:50
21249, Readers of Dominican Republic Content, People reading news from Dominican Republic media sources.,11-06-2018 17:50,11-06-2018 17:50
21250, Readers of Colombian Content, People reading news from Colombian media sources.,11-06-2018 17:50,11-06-2018 17:50
21251, Readers of Belizean Content, People reading news from Belizean media sources.,11-06-2018 17:50,11-06-2018 17:50
21292, Smart Home Product Researchers, Consumers comparing and shopping for smart home products.,12-06-2018 11:45,12-06-2018 11:45
21293, Home Wifi Researchers, Consumers comparing and shopping for whole home wifi products.,12-06-2018 11:45,12-06-2018 11:45
21326, Video Game Shoppers, Consumers researching and purchasing video games.,12-06-2018 14:35,12-06-2018 14:35
22091, Zoo Visitors, People researching zoos and planning a visit.,18-06-2018 18:40,18-06-2018 18:40
22092, Water Park Visitors, People researching water parks and planning a visit.,18-06-2018 18:40,18-06-2018 18:40
22093, Childrens Museum Visitors, People researching childrens museums and planning a visit.,18-06-2018 18:40,18-06-2018 18:40
22094, Fireworks Enthusiasts, People researching where to purchase fireworks and see firework displays.,18-06-2018 18:40,18-06-2018 18:40
22095, Hiking Enthusiasts," People researching hiking trails, planning hikes, and purchasing gear.",18-06-2018 18:40,18-06-2018 18:40
22096, Camping Enthusiasts," People researching camping sites, planning camping trips, and purchasing gear.",18-06-2018 18:40,18-06-2018 18:40
22398, Vaping Shoppers, Consumers researching products and brands for vaping.,21-06-2018 14:15,21-06-2018 14:15
22400, Oil Brand Shoppers, Consumers shopping for name brand automotive oil.,21-06-2018 14:15,21-06-2018 14:15
22401, As Seen on TV Shoppers, Consumers shopping for items advertising on television with a direct response mail-order or toll-free telephone number.,21-06-2018 14:15,21-06-2018 14:15
22403, Pandora Jewelry Shoppers, Consumers shopping for jewelry from Pandora.,21-06-2018 14:15,21-06-2018 14:15
22406, Green Bay Packers Fans, People reading news about the Green Bay Packers and watching games. These consumers are more likely to spend money on team gear.,21-06-2018 14:15,21-06-2018 14:15
22408, Super Mario Bros Fans, People reading news and product releases for Super Mario Bros games and merchandise.,21-06-2018 14:15,21-06-2018 14:15
22411, Chile Trip Planners," People researching attractions and accommodations in Chile These consumers are more likely to spend money on flights, hotels, and local attractions.",21-06-2018 14:15,21-06-2018 14:15
22413, China Trip Planners," People researching attractions and accommodations in China These consumers are more likely to spend money on flights, hotels, and local attractions.",21-06-2018 14:15,21-06-2018 14:15
22415, Colombia Trip Planners," People researching attractions and accommodations in Colombia These consumers are more likely to spend money on flights, hotels, and local attractions.",21-06-2018 14:15,21-06-2018 14:15
22417, Country Music Festivals Enthusiasts, People researching and planning to attend country music festivals.,21-06-2018 14:15,21-06-2018 14:15
22419, Summer Festivals and Fairs Visitors, People researching and planning to attend local summer festivals and fairs.,21-06-2018 14:15,06-07-2018 07:13
22420, Online Games Enthusiasts, People playing games online.,21-06-2018 14:15,21-06-2018 14:15
22421, Online Card Games Players, People joining card game communities and playing games online.,21-06-2018 14:15,21-06-2018 14:15
22422, Poker Card Game Hobbyists, People joining poker communities and playing poker and card games online.,21-06-2018 14:15,21-06-2018 14:15
22423, Martial Arts Enthusiasts, People reading martial arts news and purchasing products for their training.,21-06-2018 14:15,16-01-2019 09:11
22424, Cosplay Enthusiasts, People researching cosplay events and activities and purchasing costumes.,21-06-2018 14:15,21-06-2018 14:15
22425, BBQ Recipe Researchers, People researching BBQ recipes and cooking techniques.,21-06-2018 14:15,21-06-2018 14:15
22426, Bodybuilding Enthusiasts, People researching health and fitness trends for bodybuilding.,21-06-2018 14:15,16-01-2019 09:11
22427, Yale University Fans, People reading articles and websites about college sports and Yale University athletics.,21-06-2018 14:15,21-06-2018 14:15
22428, Harvard University Fans, People reading articles and websites about college sports and Harvard University athletics.,21-06-2018 14:15,21-06-2018 14:15
22502, Lacrosse Enthusiasts, People researching lacrosse leagues and purchasing equipment and apparel.,22-06-2018 16:15,16-01-2019 09:11
23778, Venture Capitalists, Professionals researching investment opportunities and venture capital industry trends.,25-06-2018 18:00,25-06-2018 18:00
32485, College Professors, Professionals reading industry news and researching products and services for college professors.,29-06-2018 12:55,29-06-2018 12:55
32486, Vacation Rental Accommodation Researchers, People researching and booking rentals accommodations for vacations.,29-06-2018 12:55,29-06-2018 12:55
